Date	Time	Temperature  (*C)
10/18/07	12:32:19	22.09
10/18/07	13:32:19	9.71
10/18/07	14:32:19	9.13
10/18/07	15:32:19	7.11
10/18/07	16:32:19	6.82
10/18/07	17:32:19	7.11
10/18/07	18:32:19	7.11
10/18/07	19:32:19	7.11
10/18/07	20:32:19	7.11
10/18/07	21:32:19	7.11
10/18/07	22:32:19	6.82
10/18/07	23:32:19	6.82
10/19/07	00:32:19	7.11
10/19/07	01:32:19	7.11
10/19/07	02:32:19	7.11
10/19/07	03:32:19	7.11
10/19/07	04:32:19	7.11
10/19/07	05:32:19	6.82
10/19/07	06:32:19	6.82
10/19/07	07:32:19	7.11
10/19/07	08:32:19	7.11
10/19/07	09:32:19	6.82
10/19/07	10:32:19	7.11
10/19/07	11:32:19	7.11
10/19/07	12:32:19	6.82
10/19/07	13:32:19	5.96
10/19/07	14:32:19	6.82
10/19/07	15:32:19	7.11
10/19/07	16:32:19	7.11
10/19/07	17:32:19	7.11
10/19/07	18:32:19	6.82
10/19/07	19:32:19	6.82
10/19/07	20:32:19	6.82
10/19/07	21:32:19	6.82
10/19/07	22:32:19	6.82
10/19/07	23:32:19	6.82
10/20/07	00:32:19	6.82
10/20/07	01:32:19	6.82
10/20/07	02:32:19	6.82
10/20/07	03:32:19	6.82
10/20/07	04:32:19	6.82
10/20/07	05:32:19	6.82
10/20/07	06:32:19	7.11
10/20/07	07:32:19	6.82
10/20/07	08:32:19	6.53
10/20/07	09:32:19	1.57
10/20/07	10:32:19	2.76
10/20/07	11:32:19	3.05
10/20/07	12:32:19	3.64
10/20/07	13:32:19	3.64
10/20/07	14:32:19	4.22
10/20/07	15:32:19	3.93
10/20/07	16:32:19	7.40
10/20/07	17:32:19	7.40
10/20/07	18:32:19	7.40
10/20/07	19:32:19	7.40
10/20/07	20:32:19	7.40
10/20/07	21:32:19	7.40
10/20/07	22:32:19	7.40
10/20/07	23:32:19	7.40
10/21/07	00:32:19	7.40
10/21/07	01:32:19	7.40
10/21/07	02:32:19	7.40
10/21/07	03:32:19	7.40
10/21/07	04:32:19	7.40
10/21/07	05:32:19	7.40
10/21/07	06:32:19	7.40
10/21/07	07:32:19	7.40
10/21/07	08:32:19	7.40
10/21/07	09:32:19	6.24
10/21/07	10:32:19	5.67
10/21/07	11:32:19	6.24
10/21/07	12:32:19	6.82
10/21/07	13:32:19	8.84
10/21/07	14:32:19	7.98
10/21/07	15:32:19	7.98
10/21/07	16:32:19	7.98
10/21/07	17:32:19	7.98
10/21/07	18:32:19	7.98
10/21/07	19:32:19	7.98
10/21/07	20:32:19	7.98
10/21/07	21:32:19	7.98
10/21/07	22:32:19	7.98
10/21/07	23:32:19	7.98
10/22/07	00:32:19	7.98
10/22/07	01:32:19	7.98
10/22/07	02:32:19	7.98
10/22/07	03:32:19	7.98
10/22/07	04:32:19	7.98
10/22/07	05:32:19	7.98
10/22/07	06:32:19	7.98
10/22/07	07:32:19	7.98
10/22/07	08:32:19	7.98
10/22/07	09:32:19	6.24
10/22/07	10:32:19	6.53
10/22/07	11:32:19	7.11
10/22/07	12:32:19	7.40
10/22/07	13:32:19	7.69
10/22/07	14:32:19	7.40
10/22/07	15:32:19	7.11
10/22/07	16:32:19	7.11
10/22/07	17:32:19	6.53
10/22/07	18:32:19	5.96
10/22/07	19:32:19	3.93
10/22/07	20:32:19	3.05
10/22/07	21:32:19	3.05
10/22/07	22:32:19	2.76
10/22/07	23:32:19	3.34
10/23/07	00:32:19	3.64
10/23/07	01:32:19	3.64
10/23/07	02:32:19	3.64
10/23/07	03:32:19	3.64
10/23/07	04:32:19	3.34
10/23/07	05:32:19	3.05
10/23/07	06:32:19	2.76
10/23/07	07:32:19	3.34
10/23/07	08:32:19	3.93
10/23/07	09:32:19	4.22
10/23/07	10:32:19	5.09
10/23/07	11:32:19	5.67
10/23/07	12:32:19	5.09
10/23/07	13:32:19	5.09
10/23/07	14:32:19	5.09
10/23/07	15:32:19	4.51
10/23/07	16:32:19	4.51
10/23/07	17:32:19	4.51
10/23/07	18:32:19	4.51
10/23/07	19:32:19	4.51
10/23/07	20:32:19	4.51
10/23/07	21:32:19	4.51
10/23/07	22:32:19	4.51
10/23/07	23:32:19	4.51
10/24/07	00:32:19	4.51
10/24/07	01:32:19	4.51
10/24/07	02:32:19	4.51
10/24/07	03:32:19	4.51
10/24/07	04:32:19	4.51
10/24/07	05:32:19	4.51
10/24/07	06:32:19	4.51
10/24/07	07:32:19	4.51
10/24/07	08:32:19	4.51
10/24/07	09:32:19	4.51
10/24/07	10:32:19	4.51
10/24/07	11:32:19	5.38
10/24/07	12:32:19	5.38
10/24/07	13:32:19	5.38
10/24/07	14:32:19	6.24
10/24/07	15:32:19	5.67
10/24/07	16:32:19	5.67
10/24/07	17:32:19	5.67
10/24/07	18:32:19	5.67
10/24/07	19:32:19	5.67
10/24/07	20:32:19	5.67
10/24/07	21:32:19	5.67
10/24/07	22:32:19	5.67
10/24/07	23:32:19	5.67
10/25/07	00:32:19	5.67
10/25/07	01:32:19	5.67
10/25/07	02:32:19	5.67
10/25/07	03:32:19	5.67
10/25/07	04:32:19	5.67
10/25/07	05:32:19	5.67
10/25/07	06:32:19	5.67
10/25/07	07:32:19	5.67
10/25/07	08:32:19	5.67
10/25/07	09:32:19	4.22
10/25/07	10:32:19	4.22
10/25/07	11:32:19	4.81
10/25/07	12:32:19	5.09
10/25/07	13:32:19	5.09
10/25/07	14:32:19	5.38
10/25/07	15:32:19	6.24
10/25/07	16:32:19	5.96
10/25/07	17:32:19	6.24
10/25/07	18:32:19	5.96
10/25/07	19:32:19	6.24
10/25/07	20:32:19	6.24
10/25/07	21:32:19	6.24
10/25/07	22:32:19	6.24
10/25/07	23:32:19	6.24
10/26/07	00:32:19	6.24
10/26/07	01:32:19	6.24
10/26/07	02:32:19	6.24
10/26/07	03:32:19	6.24
10/26/07	04:32:19	6.24
10/26/07	05:32:19	6.24
10/26/07	06:32:19	6.24
10/26/07	07:32:19	5.96
10/26/07	08:32:19	6.24
10/26/07	09:32:19	6.24
