Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	15.35315	0.0313069	-0.2666	-0.2651	6.985840	0.18560
2	15.35289	0.0312913	-0.2666	-0.2651	6.985883	0.18551
3	15.35256	0.0314415	-0.2574	-0.2560	6.985894	0.18641
4	15.35263	0.0314415	-0.2636	-0.2621	6.985884	0.18641
5	15.35263	0.0314415	-0.2695	-0.2681	6.985884	0.18641
6	15.35205	0.0314415	-0.2666	-0.2651	6.985972	0.18641
7	15.35185	0.0314164	-0.2726	-0.2711	6.986007	0.18626
8	15.35198	0.0314133	-0.2635	-0.2620	6.985989	0.18625
9	15.35153	0.0314258	-0.2666	-0.2651	6.986054	0.18632
10	15.35146	0.0314227	-0.2636	-0.2621	6.986064	0.18630
11	15.35120	0.0314164	-0.2635	-0.2621	6.986105	0.18627
12	15.35120	0.0314227	-0.2666	-0.2651	6.986103	0.18631
13	15.35088	0.0314665	-0.2605	-0.2591	6.986141	0.18657
14	15.35081	0.0315791	-0.2635	-0.2621	6.986121	0.18725
15	15.35081	0.0317199	-0.2635	-0.2621	6.986085	0.18810
16	15.35023	0.0318951	-0.2606	-0.2591	6.986128	0.18916
17	15.34997	0.0323144	-0.2696	-0.2681	6.986059	0.19169
18	15.34997	0.0331908	-0.2635	-0.2620	6.985833	0.19698
19	15.34977	0.0339110	-0.2635	-0.2620	6.985676	0.20134
20	15.34958	0.0347724	-0.2666	-0.2651	6.985483	0.20656
21	15.34925	0.0355526	-0.2635	-0.2620	6.985330	0.21129
22	15.34913	0.0362799	-0.2636	-0.2621	6.985161	0.21571
23	15.34906	0.0367188	-0.2636	-0.2621	6.985057	0.21837
24	15.34880	0.0375123	-0.2605	-0.2591	6.984890	0.22320
25	15.34841	0.0381335	-0.2635	-0.2620	6.984787	0.22698
26	15.34796	0.0389934	-0.2635	-0.2621	6.984632	0.23222
27	15.34848	0.0392854	-0.2605	-0.2591	6.984478	0.23400
28	15.34789	0.0399039	-0.2636	-0.2621	6.984405	0.23777
29	15.34802	0.0418801	-0.2635	-0.2620	6.983870	0.24985
30	15.34750	0.0428013	-0.2695	-0.2681	6.983708	0.25549
31	15.34731	0.0432478	-0.2666	-0.2651	6.983620	0.25822
32	15.34724	0.0441192	-0.2604	-0.2590	6.983402	0.26357
33	15.34633	0.0461338	-0.2604	-0.2590	6.983011	0.27594
34	15.34659	0.0495945	-0.2666	-0.2651	6.982063	0.29726
35	15.34666	0.0513805	-0.2635	-0.2620	6.981583	0.30829
36	15.34588	0.0528205	-0.2635	-0.2620	6.981320	0.31720
37	15.34549	0.0543025	-0.2604	-0.2590	6.980987	0.32638
38	15.34497	0.0544795	-0.2574	-0.2560	6.981018	0.32749
39	15.34504	0.0542361	-0.2574	-0.2560	6.981072	0.32598
40	15.34484	0.0536451	-0.2634	-0.2620	6.981258	0.32232
41	15.34471	0.0528647	-0.2604	-0.2590	6.981483	0.31748
42	15.34432	0.0521130	-0.2665	-0.2650	6.981740	0.31283
43	15.34445	0.0516773	-0.2635	-0.2620	6.981836	0.31014
44	15.34380	0.0520562	-0.2665	-0.2650	6.981833	0.31249
45	15.34316	0.0523056	-0.2665	-0.2650	6.981864	0.31403
46	15.31319	0.6798314	-0.2086	-0.2075	6.803139	4.66402
47	14.39997	1.6955919	-0.1325	-0.1318	6.599711	12.79442
48	13.14704	3.0419094	-0.0870	-0.0865	6.283374	25.05697
49	12.30734	3.2107945	-0.0870	-0.0865	6.312339	27.19506
50	11.76299	3.2157095	-0.1174	-0.1168	6.368980	27.64065
51	11.48405	1.8240953	-0.1660	-0.1651	6.939151	14.95620
52	11.30729	0.3802717	-0.2269	-0.2257	7.520980	2.78506
53	11.26306	0.3077115	-0.2604	-0.2589	7.555094	2.22723
54	11.30016	0.9764520	-0.2178	-0.2166	7.295918	7.64031
55	11.29094	2.7390258	-0.0838	-0.0834	6.606330	23.45453
56	11.10522	3.2427253	0.0835	0.0830	6.430028	28.39762
57	10.86780	3.2439033	0.2509	0.2495	6.455568	28.59307
58	10.65296	3.2488405	0.3818	0.3797	6.477238	28.80971
59	10.50623	3.2571422	0.4609	0.4584	6.490086	29.00751
60	10.42103	3.2648433	0.4731	0.4705	6.496375	29.15150
61	10.38937	3.2700605	0.4517	0.4493	6.497750	29.22849
62	10.41134	3.2775462	0.4182	0.4159	6.492278	29.28491
63	10.44716	3.2804214	0.4000	0.3978	6.487163	29.28455
64	10.45742	3.2807793	0.3819	0.3798	6.485887	29.27984
65	10.42976	3.2828836	0.3787	0.3767	6.488079	29.32290
66	10.40466	3.2930473	0.3849	0.3827	6.486710	29.44372
67	10.40443	3.2984765	0.3787	0.3767	6.484526	29.49767
68	10.39130	3.2967399	0.3909	0.3888	6.486677	29.49111
69	10.40551	3.3039154	0.4062	0.4039	6.482197	29.55066
70	10.44523	3.3016987	0.4245	0.4221	6.478740	29.49650
71	10.45981	3.2948330	0.4426	0.4402	6.479926	29.41680
72	10.43690	3.2898024	0.4579	0.4554	6.484485	29.38554
73	10.41015	3.2869993	0.4518	0.4493	6.488566	29.37939
74	10.38439	3.2839521	0.4366	0.4342	6.492643	29.37002
75	10.35576	3.2786454	0.4214	0.4191	6.497963	29.34056
76	10.32998	3.2734111	0.4153	0.4130	6.502948	29.30948
77	10.31297	3.2709394	0.4093	0.4070	6.505840	29.29869
78	10.30534	3.2724388	0.4184	0.4161	6.506071	29.31970
79	10.30099	3.2816288	0.4154	0.4131	6.502793	29.41440
80	10.30483	3.2972631	0.4184	0.4161	6.495977	29.56649
81	10.30737	3.3005293	0.4032	0.4010	6.494361	29.59687
82	10.30229	3.2837017	0.4002	0.3980	6.501801	29.43393
83	10.28919	3.2696538	0.4154	0.4131	6.508998	29.30510
84	10.27609	3.2666566	0.4458	0.4434	6.511677	29.28591
85	10.27869	3.2739764	0.4732	0.4706	6.508392	29.35646
86	10.28772	3.2939605	0.4823	0.4797	6.499214	29.54759
87	10.29585	3.3006239	0.4580	0.4554	6.495592	29.60717
88	10.38496	3.3022345	0.4063	0.4041	6.485137	29.55069
89	10.53134	3.2990289	0.3546	0.3526	6.470383	29.40058
90	10.63991	3.2902717	0.3272	0.3254	6.462025	29.22714
91	10.65359	3.2774180	0.3241	0.3223	6.465689	29.08986
92	10.57563	3.2687790	0.3423	0.3404	6.477730	29.06695
93	10.49527	3.2684350	0.3850	0.3829	6.486721	29.12763
94	10.43208	3.2706872	0.4336	0.4312	6.492779	29.20043
95	10.38898	3.2817849	0.4732	0.4706	6.493021	29.34485
96	10.37466	3.2945005	0.4854	0.4827	6.489420	29.48237
97	10.36996	3.2998992	0.4854	0.4828	6.487737	29.53969
98	10.42568	3.3001693	0.4519	0.4495	6.481507	29.49719
99	10.51537	3.2905246	0.4124	0.4102	6.475572	29.32948
100	10.56135	3.2769482	0.3881	0.3860	6.476006	29.15877
101	10.52673	3.2655254	0.3911	0.3890	6.484430	29.07384
102	10.46128	3.2659023	0.4064	0.4041	6.491498	29.12979
103	10.41010	3.2821929	0.4336	0.4313	6.490526	29.33188
104	10.38230	3.2947206	0.4490	0.4465	6.488489	29.47837
105	10.37856	3.3006230	0.4398	0.4374	6.486496	29.53990
106	10.47172	3.3015410	0.4186	0.4163	6.475900	29.47351
107	10.58701	3.2952153	0.4033	0.4011	6.465827	29.31817
108	10.66397	3.2892028	0.4003	0.3981	6.459823	29.19737
109	10.66773	3.2846715	0.4065	0.4042	6.461229	29.14984
110	10.60198	3.2805265	0.4185	0.4162	6.470102	29.16154
111	10.53605	3.2829139	0.4307	0.4284	6.476377	29.23779
112	10.50049	3.2914364	0.4338	0.4314	6.476836	29.35045
113	10.48596	3.2973052	0.4428	0.4404	6.476055	29.42012
114	10.47070	3.2967391	0.4399	0.4374	6.477958	29.42685
115	10.45413	3.2885450	0.4369	0.4345	6.483100	29.35922
116	10.43361	3.2782679	0.4308	0.4284	6.489530	29.27414
117	10.39005	3.2722497	0.4338	0.4315	6.496784	29.24962
118	10.35061	3.2724383	0.4308	0.4284	6.501064	29.28321
119	10.33580	3.2844866	0.4338	0.4314	6.497783	29.41458
120	10.34496	3.2970550	0.4429	0.4405	6.491645	29.53180
121	10.33902	3.2989806	0.4308	0.4284	6.491512	29.55574
122	10.32495	3.3007180	0.4125	0.4103	6.492351	29.58443
123	10.33597	3.3011018	0.3822	0.3801	6.490982	29.57929
124	10.35440	3.2983197	0.3730	0.3709	6.490089	29.53671
125	10.35485	3.2873455	0.3699	0.3679	6.494514	29.42753
126	10.34586	3.2786769	0.3912	0.3891	6.499043	29.34887
127	10.32342	3.2740386	0.4339	0.4315	6.503417	29.32098
128	10.30483	3.2741643	0.4765	0.4739	6.505422	29.33721
129	10.30223	3.2891438	0.5009	0.4981	6.499584	29.48796
130	10.31664	3.2977475	0.5100	0.5072	6.494480	29.56166
131	10.32229	3.3039478	0.4857	0.4830	6.491326	29.61863
132	10.38909	3.3051877	0.4401	0.4376	6.483482	29.57659
133	10.50271	3.3016036	0.3884	0.3863	6.472478	29.44909
134	10.56829	3.2954735	0.3732	0.3712	6.467772	29.33576
135	10.58650	3.2901780	0.3671	0.3650	6.467912	29.26897
136	10.56476	3.2855209	0.3823	0.3802	6.472172	29.24050
137	10.51861	3.2787379	0.4066	0.4044	6.479982	29.21059
138	10.45487	3.2744451	0.4219	0.4196	6.488739	29.21929
139	10.40370	3.2741005	0.4310	0.4287	6.494524	29.25696
140	10.37415	3.2765799	0.4401	0.4377	6.496776	29.30527
141	10.36447	3.2832927	0.4554	0.4529	6.495108	29.37956
142	10.36764	3.2921358	0.4523	0.4498	6.491155	29.46463
143	10.37132	3.2980301	0.4616	0.4590	6.488349	29.52007
144	10.36243	3.3001825	0.4494	0.4469	6.488448	29.54863
145	10.34507	3.3010640	0.4341	0.4317	6.489997	29.57149
146	10.34224	3.3047662	0.4128	0.4105	6.488797	29.61053
147	10.38490	3.3052759	0.3886	0.3864	6.483905	29.58089
148	10.44416	3.3030208	0.3672	0.3652	6.478321	29.51048
149	10.47484	3.3001498	0.3763	0.3743	6.476121	29.45725
150	10.47416	3.3000240	0.4038	0.4015	6.476247	29.45654
151	10.47246	3.2979346	0.4221	0.4197	6.477281	29.43726
152	10.45464	3.2902109	0.4586	0.4561	6.482368	29.37527
153	10.41780	3.2882248	0.4738	0.4712	6.487226	29.38534
154	10.38784	3.2992633	0.4586	0.4561	6.486030	29.51888
155	10.37533	3.3059121	0.4434	0.4410	6.484697	29.59495
156	10.36176	3.3052447	0.4159	0.4137	6.486459	29.59939
157	10.35265	3.2966145	0.4039	0.4017	6.490978	29.52121
158	10.33450	3.2883200	0.4130	0.4108	6.496361	29.45366
159	10.31353	3.2942118	0.4131	0.4108	6.496265	29.52913
160	10.31031	3.3051193	0.4162	0.4139	6.492163	29.64006
161	10.30624	3.3063034	0.4040	0.4018	6.492126	29.65514
162	10.33342	3.2997108	0.3948	0.3927	6.491829	29.56755
163	10.36147	3.2909349	0.3858	0.3837	6.492322	29.45775
164	10.36294	3.2863713	0.3857	0.3836	6.494020	29.41133
165	10.34134	3.2845180	0.3919	0.3897	6.497158	29.41043
166	10.31766	3.2813460	0.4101	0.4079	6.501068	29.39811
167	10.29286	3.2774219	0.4467	0.4442	6.505413	29.37922
168	10.27062	3.2772652	0.4772	0.4745	6.507938	29.39564
169	10.26029	3.2828541	0.4954	0.4927	6.506790	29.45952
170	10.27174	3.2923758	0.4954	0.4927	6.501624	29.54483
171	10.28439	3.2974647	0.4742	0.4716	6.498147	29.58511
172	10.27835	3.2989813	0.4377	0.4353	6.498191	29.60512
173	10.26819	3.2957283	0.3951	0.3929	6.500642	29.58108
174	10.26046	3.2841419	0.3647	0.3627	6.506241	29.47223
175	10.24884	3.2739453	0.3616	0.3596	6.511708	29.38033
176	10.23344	3.2672464	0.3861	0.3839	6.516163	29.32620
177	10.22268	3.2650021	0.4225	0.4202	6.518281	29.31258
178	10.21890	3.2650649	0.4804	0.4777	6.518675	29.31623
179	10.21478	3.2653470	0.5231	0.5202	6.519017	29.32234
180	10.21028	3.2664692	0.5292	0.5263	6.519056	29.33714
181	10.20853	3.2733057	0.5017	0.4990	6.516439	29.40655
182	10.21839	3.2825718	0.4470	0.4445	6.511539	29.49074
183	10.22200	3.2811900	0.3710	0.3690	6.511706	29.47410
184	10.21349	3.2710973	0.3132	0.3115	6.516794	29.38065
185	10.19659	3.2654349	0.2858	0.2843	6.520997	29.33802
186	10.17997	3.2631598	0.3193	0.3176	6.523780	29.32881
187	10.17609	3.2634419	0.3620	0.3600	6.524097	29.33474
188	10.17857	3.2659680	0.4076	0.4054	6.522782	29.35785
189	10.18859	3.2751634	0.4472	0.4448	6.517885	29.44123
190	10.20053	3.2849907	0.4655	0.4629	6.512521	29.52933
191	10.19602	3.2869073	0.4595	0.4569	6.512232	29.55208
192	10.18752	3.2841112	0.4625	0.4599	6.514323	29.53117
193	10.18341	3.2803615	0.4686	0.4660	6.516321	29.49718
194	10.18014	3.2851480	0.4747	0.4721	6.514713	29.54750
195	10.18240	3.2919806	0.4748	0.4721	6.511652	29.61372
196	10.18684	3.2943453	0.4596	0.4571	6.510188	29.63365
197	10.20363	3.2896477	0.4292	0.4268	6.510264	29.57318
198	10.22809	3.2799968	0.3927	0.3905	6.511522	29.45728
199	10.23271	3.2716240	0.3867	0.3846	6.514448	29.37030
200	10.21811	3.2677482	0.3897	0.3876	6.517659	29.34358
201	10.20673	3.2688457	0.4110	0.4088	6.518471	29.36369
202	10.20633	3.2759163	0.4447	0.4422	6.515609	29.43433
203	10.21225	3.2803046	0.4812	0.4785	6.513151	29.47317
204	10.21326	3.2844565	0.4873	0.4846	6.511333	29.51365
