Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	17.48768	0.0038912	0.0419	0.0417	6.683708	0.02595
2	17.48726	0.0038758	0.0389	0.0387	6.683769	0.02587
3	17.48699	0.0038696	0.0389	0.0387	6.683808	0.02584
4	17.48713	0.0038480	0.0389	0.0387	6.683793	0.02573
5	17.48733	0.0038449	0.0419	0.0417	6.683765	0.02571
6	17.48740	0.0038325	0.0419	0.0417	6.683758	0.02565
7	17.48747	0.0038233	0.0449	0.0447	6.683750	0.02561
8	17.48754	0.0038202	0.0419	0.0417	6.683741	0.02559
9	17.48775	0.0038140	0.0449	0.0447	6.683714	0.02556
10	17.48775	0.0037985	0.0388	0.0386	6.683717	0.02548
11	17.48747	0.0037955	0.0480	0.0477	6.683756	0.02547
12	17.48782	0.0037862	0.0449	0.0447	6.683710	0.02542
13	17.48782	0.0037738	0.0450	0.0447	6.683712	0.02536
14	17.48754	0.0037677	0.0419	0.0416	6.683752	0.02533
15	17.48706	0.0037584	0.0480	0.0477	6.683821	0.02528
16	17.48637	0.0037522	0.0449	0.0447	6.683918	0.02525
17	17.48568	0.0037337	0.0480	0.0477	6.684018	0.02516
18	17.48471	0.0037152	0.0449	0.0447	6.684156	0.02506
19	17.48360	0.0037152	0.0480	0.0477	6.684310	0.02506
20	17.48298	0.0037183	0.0419	0.0416	6.684396	0.02508
21	17.48291	0.0037059	0.0449	0.0447	6.684408	0.02502
22	17.48222	0.0036935	0.0419	0.0417	6.684506	0.02496
23	17.48139	0.0036874	0.0419	0.0417	6.684623	0.02492
24	17.47939	0.0036781	0.0480	0.0477	6.684903	0.02488
25	17.47677	0.0036534	0.0419	0.0417	6.685273	0.02475
26	17.47566	0.0036441	0.0419	0.0416	6.685429	0.02471
27	17.47421	0.0036380	0.0449	0.0447	6.685631	0.02468
28	17.47242	0.0036349	0.0449	0.0447	6.685882	0.02466
29	17.47028	0.0036781	0.0449	0.0447	6.686171	0.02488
30	17.46904	0.0036781	0.0479	0.0477	6.686344	0.02488
31	17.46814	0.0036441	0.0510	0.0507	6.686475	0.02471
32	17.46842	0.0036225	0.0480	0.0478	6.686441	0.02460
33	17.46855	0.0036071	0.0449	0.0447	6.686425	0.02452
34	17.46862	0.0037059	0.0419	0.0416	6.686396	0.02502
35	17.46642	0.0039962	0.0510	0.0508	6.686644	0.02648
36	17.46214	0.0047345	0.0449	0.0447	6.687088	0.03024
37	17.46020	0.0057513	0.0510	0.0507	6.687146	0.03548
38	17.46089	0.0067098	0.0449	0.0446	6.686849	0.04048
39	17.46200	0.0069944	0.0419	0.0416	6.686636	0.04197
40	17.45710	0.0068799	0.0419	0.0417	6.687341	0.04137
41	17.43758	0.0067098	0.0449	0.0447	6.690095	0.04049
42	17.41435	0.0073532	0.0450	0.0447	6.693195	0.04389
43	17.40615	0.0075450	0.0480	0.0477	6.694297	0.04491
44	17.40477	0.0076719	0.0480	0.0477	6.694462	0.04558
45	17.40147	0.0077337	0.0480	0.0477	6.694910	0.04591
46	17.39561	0.0077833	0.0450	0.0447	6.695715	0.04618
47	17.38997	0.0076719	0.0449	0.0446	6.696527	0.04559
48	17.39010	0.0076255	0.0419	0.0417	6.696518	0.04535
49	17.39128	0.0074089	0.0449	0.0447	6.696400	0.04420
50	17.39245	0.0071862	0.0419	0.0417	6.696285	0.04302
51	17.39369	0.0070562	0.0480	0.0478	6.696139	0.04234
52	17.39403	0.0070067	0.0419	0.0417	6.696102	0.04207
53	17.39424	0.0068181	0.0450	0.0447	6.696113	0.04108
54	17.39382	0.0066480	0.0419	0.0417	6.696207	0.04019
55	17.39066	0.0065397	0.0449	0.0447	6.696671	0.03962
56	17.38584	0.0064532	0.0511	0.0508	6.697362	0.03917
57	17.38184	0.0063789	0.0450	0.0447	6.697935	0.03878
58	17.37723	0.0062862	0.0450	0.0447	6.698598	0.03830
59	17.37647	0.0062089	0.0511	0.0508	6.698720	0.03790
60	17.37757	0.0061007	0.0449	0.0447	6.698589	0.03733
61	17.37042	0.0060667	0.0420	0.0417	6.699596	0.03716
62	17.35666	0.0060574	0.0450	0.0448	6.701519	0.03711
63	17.35466	0.0059337	0.0450	0.0447	6.701824	0.03647
64	17.35604	0.0058781	0.0449	0.0447	6.701644	0.03618
65	17.35487	0.0058379	0.0450	0.0447	6.701815	0.03597
66	17.34868	0.0058502	0.0450	0.0448	6.702678	0.03604
67	17.33953	0.0058162	0.0510	0.0508	6.703963	0.03586
68	17.33637	0.0057513	0.0419	0.0417	6.704419	0.03553
69	17.33603	0.0058410	0.0420	0.0417	6.704448	0.03599
70	17.33603	0.0058719	0.0420	0.0417	6.704441	0.03615
71	17.33685	0.0058162	0.0480	0.0478	6.704338	0.03586
72	17.33527	0.0057204	0.0450	0.0447	6.704579	0.03536
73	17.32194	0.0055999	0.0450	0.0447	6.706469	0.03474
74	17.30359	0.0055102	0.0450	0.0447	6.709054	0.03428
75	17.29789	0.0054484	0.0481	0.0478	6.709865	0.03396
76	17.29975	0.0054762	0.0480	0.0477	6.709600	0.03411
77	17.30373	0.0053866	0.0420	0.0417	6.709061	0.03364
78	17.30716	0.0053062	0.0450	0.0448	6.708597	0.03322
79	17.30318	0.0052166	0.0512	0.0509	6.709174	0.03276
80	17.28546	0.0051239	0.0451	0.0448	6.711673	0.03229
81	17.27709	0.0050466	0.0451	0.0448	6.712863	0.03189
82	17.27901	0.0049632	0.0450	0.0448	6.712611	0.03146
83	17.28292	0.0049045	0.0451	0.0448	6.712075	0.03115
84	17.28718	0.0048520	0.0481	0.0478	6.711490	0.03088
85	17.29233	0.0047871	0.0450	0.0448	6.710782	0.03055
86	17.29810	0.0047345	0.0450	0.0447	6.709985	0.03028
87	17.30304	0.0047253	0.0511	0.0508	6.709295	0.03023
88	17.30723	0.0046975	0.0481	0.0478	6.708715	0.03008
89	17.30984	0.0046295	0.0481	0.0478	6.708363	0.02973
90	17.31293	0.0045986	0.0450	0.0448	6.707937	0.02957
91	17.31575	0.0046264	0.0451	0.0448	6.707537	0.02972
92	17.31706	0.0046388	0.0420	0.0418	6.707352	0.02978
93	17.31857	0.0045986	0.0450	0.0448	6.707149	0.02957
94	17.32042	0.0046079	0.0481	0.0479	6.706887	0.02962
95	17.32310	0.0045739	0.0421	0.0418	6.706519	0.02945
96	17.32688	0.0045523	0.0390	0.0388	6.705995	0.02933
97	17.33101	0.0045275	0.0451	0.0448	6.705424	0.02921
98	17.33231	0.0044997	0.0481	0.0478	6.705247	0.02906
99	17.33431	0.0044966	0.0512	0.0509	6.704969	0.02905
100	17.33623	0.0044750	0.0481	0.0478	6.704704	0.02894
101	17.33802	0.0044565	0.0482	0.0479	6.704458	0.02884
102	17.33891	0.0044287	0.0481	0.0479	6.704339	0.02870
103	17.33898	0.0044194	0.0481	0.0478	6.704331	0.02865
104	17.34049	0.0044071	0.0512	0.0509	6.704122	0.02859
105	17.34256	0.0044040	0.0481	0.0479	6.703834	0.02857
106	17.34496	0.0043916	0.0481	0.0479	6.703500	0.02851
107	17.34682	0.0043576	0.0482	0.0479	6.703248	0.02833
108	17.34634	0.0043576	0.0481	0.0479	6.703315	0.02834
109	17.34579	0.0043144	0.0482	0.0479	6.703401	0.02811
110	17.34228	0.0043051	0.0481	0.0478	6.703893	0.02807
111	17.33389	0.0042989	0.0451	0.0449	6.705067	0.02804
112	17.33307	0.0042588	0.0481	0.0478	6.705191	0.02783
113	17.32757	0.0042248	0.0482	0.0479	6.705967	0.02766
114	17.31919	0.0042155	0.0481	0.0479	6.707141	0.02762
115	17.31403	0.0041877	0.0421	0.0419	6.707868	0.02748
116	17.30984	0.0041630	0.0482	0.0479	6.708460	0.02735
117	17.30716	0.0041445	0.0421	0.0419	6.708838	0.02726
118	17.30538	0.0041229	0.0390	0.0388	6.709093	0.02715
119	17.27853	0.0040981	0.0421	0.0419	6.712857	0.02703
120	17.24835	0.0040734	0.0482	0.0479	6.717094	0.02690
121	17.23765	0.0040580	0.0451	0.0448	6.718598	0.02683
122	17.23690	0.0040456	0.0451	0.0448	6.718706	0.02676
123	17.23505	0.0040024	0.0451	0.0449	6.718975	0.02655
124	17.23614	0.0039839	0.0482	0.0479	6.718825	0.02645
125	17.23731	0.0039561	0.0451	0.0449	6.718667	0.02631
126	17.23820	0.0039406	0.0482	0.0479	6.718545	0.02623
127	17.23875	0.0039128	0.0482	0.0479	6.718474	0.02609
128	17.21456	0.0038912	0.0482	0.0479	6.721874	0.02598
129	17.18238	0.0038758	0.0452	0.0449	6.726400	0.02591
130	17.17273	0.0038696	0.0421	0.0419	6.727758	0.02588
131	17.17335	0.0038387	0.0482	0.0479	6.727678	0.02572
132	17.17403	0.0038325	0.0482	0.0480	6.727583	0.02569
133	17.18046	0.0037986	0.0512	0.0510	6.726686	0.02552
134	17.18710	0.0037677	0.0512	0.0509	6.725758	0.02536
135	17.19367	0.0037491	0.0452	0.0449	6.724838	0.02527
136	17.20025	0.0037337	0.0421	0.0419	6.723918	0.02519
137	17.19751	0.0037152	0.0483	0.0480	6.724306	0.02509
138	17.18915	0.0037028	0.0483	0.0480	6.725483	0.02503
139	17.18559	0.0036874	0.0512	0.0509	6.725987	0.02495
140	17.18518	0.0036719	0.0513	0.0510	6.726047	0.02488
141	17.18375	0.0036441	0.0543	0.0540	6.726255	0.02474
142	17.17725	0.0036441	0.0482	0.0480	6.727170	0.02474
143	17.18039	0.0036225	0.0452	0.0450	6.726731	0.02463
144	17.18340	0.0095942	0.0543	0.0540	6.725034	0.05605
145	16.31041	0.0869691	0.0879	0.0874	6.830565	0.51929
146	14.35423	1.2602887	0.1579	0.1571	6.750301	9.28600
147	12.85062	3.0359131	0.2646	0.2631	6.317575	25.19820
148	11.87639	3.0639482	0.3590	0.3570	6.414082	26.12318
149	11.23398	3.0832421	0.4169	0.4146	6.478252	26.76411
150	10.80318	3.1013321	0.4901	0.4874	6.519585	27.25484
151	10.51041	3.1083013	0.5571	0.5540	6.549941	27.54206
152	10.32696	3.1164328	0.6241	0.6207	6.567497	27.76110
153	10.21707	3.1244422	0.6941	0.6903	6.576735	27.92423
154	10.14320	3.1358405	0.7185	0.7146	6.580455	28.09396
155	10.11385	3.1530718	0.7186	0.7147	6.576669	28.28755
156	10.10227	3.1641374	0.7034	0.6995	6.573402	28.40641
157	10.09525	3.1599521	0.6911	0.6873	6.575933	28.37037
158	10.07391	3.1508213	0.6851	0.6813	6.582146	28.29641
159	10.04579	3.1496036	0.6820	0.6783	6.585855	28.30630
160	10.04534	3.1576380	0.6698	0.6662	6.582568	28.38649
161	10.05606	3.1638963	0.6516	0.6480	6.578750	28.44030
162	10.06178	3.1657357	0.6363	0.6328	6.577336	28.45409
163	10.05959	3.1704384	0.6242	0.6207	6.575633	28.50256
164	10.06324	3.1748336	0.6089	0.6056	6.573395	28.54339
165	10.06594	3.1713742	0.5937	0.5905	6.574524	28.50688
166	10.05656	3.1667888	0.5876	0.5844	6.577491	28.46868
167	10.04080	3.1614569	0.5967	0.5934	6.581497	28.42805
168	10.03423	3.1642557	0.5998	0.5965	6.581081	28.46104
169	10.05017	3.1825760	0.6059	0.6026	6.571664	28.63072
170	10.08727	3.1863812	0.6059	0.6026	6.565887	28.63922
171	10.10143	3.1800870	0.6059	0.6026	6.566892	28.56550
172	10.09076	3.1695952	0.6089	0.6056	6.572447	28.46968
173	10.08188	3.1668195	0.6089	0.6056	6.574604	28.44908
174	10.08402	3.1610045	0.6089	0.6056	6.576772	28.38965
175	10.08273	3.1043207	0.6029	0.5995	6.600429	27.82848
176	10.06863	3.0522104	0.6151	0.6117	6.623698	27.32357
177	10.05454	3.0596240	0.6120	0.6087	6.622250	27.40753
178	10.05134	3.0850265	0.6029	0.5995	6.612056	27.66141
179	10.04444	3.0455914	0.6028	0.5995	6.629260	27.27636
180	10.03137	3.1486208	0.5998	0.5965	6.587906	28.30783
181	10.02352	3.1653707	0.5937	0.5904	6.581835	28.48056
182	10.03154	3.1668820	0.5816	0.5784	6.580295	28.48929
183	10.03709	3.1652838	0.5785	0.5753	6.580328	28.46902
184	10.02896	3.1606770	0.5847	0.5814	6.583168	28.42960
185	10.01814	3.1633332	0.5846	0.5814	6.583294	28.46452
186	10.01898	3.1689639	0.5847	0.5814	6.580857	28.51989
187	10.03479	3.1726143	0.5785	0.5753	6.577543	28.54375
188	10.04983	3.1754911	0.5786	0.5754	6.574643	28.56051
189	10.05252	3.1661880	0.5785	0.5753	6.578199	28.46588
190	10.04063	3.1550209	0.5785	0.5753	6.584190	28.36421
191	10.02863	3.1618409	0.5876	0.5844	6.582722	28.44143
192	10.05539	3.1936995	0.5876	0.5844	6.566457	28.73728
193	10.11638	3.2102470	0.5907	0.5874	6.552727	28.85341
194	10.12077	3.2081984	0.5846	0.5814	6.553081	28.82956
195	10.10919	3.2085659	0.5785	0.5753	6.554231	28.84243
196	10.09935	3.2191755	0.5754	0.5723	6.550947	28.95582
197	10.09654	3.2124208	0.5755	0.5723	6.554059	28.89085
198	10.09525	3.1142435	0.5694	0.5662	6.594876	27.91715
199	10.09138	3.1362174	0.5663	0.5632	6.586209	28.13795
200	10.08020	3.1070632	0.5664	0.5633	6.599581	27.85761
201	10.08761	3.1990333	0.5664	0.5633	6.560607	28.76478
202	10.12819	3.2017759	0.5725	0.5693	6.554900	28.75984
203	10.28849	3.1420809	0.5634	0.5603	6.561357	28.04339
204	10.52763	3.1665424	0.5694	0.5663	6.524388	28.09973
205	10.67171	3.2210087	0.5694	0.5663	6.486349	28.52204
206	10.71211	3.2173552	0.5663	0.5632	6.483339	28.45481
207	10.69305	3.2128443	0.5603	0.5572	6.487261	28.42549
208	10.67046	3.2127511	0.5664	0.5633	6.489805	28.44214
209	10.64349	3.2266725	0.5694	0.5663	6.487199	28.59960
210	10.63585	3.2411917	0.5573	0.5542	6.482204	28.74804
211	10.61705	3.2442238	0.5512	0.5482	6.483061	28.79262
212	10.66048	3.2407852	0.5481	0.5451	6.479648	28.72470
213	10.72725	3.2309592	0.5451	0.5421	6.476215	28.57614
214	10.75713	3.2362043	0.5511	0.5481	6.470819	28.60411
215	10.77732	3.2504267	0.5481	0.5451	6.462916	28.72742
216	10.80387	3.2524477	0.5513	0.5482	6.459193	28.72636
217	10.84561	3.2452468	0.5513	0.5482	6.457476	28.62337
218	10.91507	3.2423639	0.5542	0.5511	6.450996	28.54116
219	10.97252	3.2561768	0.5512	0.5482	6.439238	28.63092
220	11.01330	3.2565208	0.5482	0.5452	6.434646	28.60251
221	11.10793	3.2534710	0.5481	0.5451	6.425523	28.49949
222	11.27221	3.2470997	0.5604	0.5573	6.410128	28.31132
223	11.36250	3.2466359	0.5604	0.5573	6.400502	28.23777
224	11.40237	3.2544631	0.5604	0.5573	6.393152	28.28261
225	11.40464	3.2570489	0.5665	0.5634	6.391908	28.30573
226	11.37342	3.2482808	0.5634	0.5603	6.398680	28.24526
227	11.28398	3.2392350	0.5573	0.5543	6.411907	28.22647
228	11.17764	3.2422361	0.5543	0.5513	6.422323	28.33695
229	11.09420	3.2559000	0.5604	0.5573	6.426066	28.53367
230	11.05517	3.2544042	0.5696	0.5665	6.430910	28.54942
231	10.99564	3.2428569	0.5696	0.5665	6.441969	28.48342
232	11.08514	3.2476021	0.5696	0.5665	6.430313	28.46021
233	11.19573	3.2405358	0.5726	0.5695	6.421014	28.30661
234	11.23688	3.2448988	0.5757	0.5726	6.414829	28.31718
235	11.26572	3.2659970	0.5666	0.5635	6.403479	28.49872
236	11.29830	3.2681220	0.5666	0.5635	6.399124	28.49409
237	11.31327	3.2689934	0.5818	0.5786	6.397167	28.49095
238	11.31054	3.2712512	0.5910	0.5877	6.396585	28.51483
239	11.30834	3.2675889	0.5910	0.5878	6.398246	28.48120
240	11.30143	3.2593547	0.5941	0.5908	6.402191	28.40709
241	11.22281	3.2570821	0.6063	0.6029	6.411608	28.44568
242	11.10700	3.2634102	0.6002	0.5969	6.421724	28.59656
243	11.04342	3.2696861	0.6032	0.5999	6.426178	28.70698
244	11.00651	3.2736320	0.6032	0.5999	6.428640	28.77419
245	10.96470	3.2761989	0.6154	0.6121	6.432180	28.83195
246	10.91352	3.2750197	0.6154	0.6120	6.438224	28.86066
247	10.88724	3.2730686	0.6124	0.6090	6.441865	28.86229
248	11.03800	3.2723455	0.6186	0.6152	6.425720	28.73705
249	11.27633	3.2727508	0.6369	0.6334	6.399704	28.55572
250	11.44899	3.2735332	0.6399	0.6364	6.380760	28.43021
251	11.55949	3.2749375	0.6308	0.6273	6.368330	28.35902
252	11.63362	3.2729666	0.6277	0.6243	6.361125	28.28359
253	11.66342	3.2665884	0.6399	0.6364	6.360360	28.19997
254	11.61168	3.2659307	0.6430	0.6395	6.366169	28.23298
255	11.54519	3.2689282	0.6491	0.6455	6.372172	28.31235
256	11.50225	3.2719642	0.6308	0.6273	6.375628	28.37431
257	11.43798	3.2694310	0.6339	0.6304	6.383527	28.39922
258	11.30207	3.2589789	0.6400	0.6365	6.402269	28.40295
259	11.11491	3.2608162	0.6614	0.6578	6.421882	28.56525
260	11.01221	3.2740649	0.6706	0.6669	6.427850	28.77392
261	10.94838	3.2745989	0.6827	0.6790	6.434591	28.82914
262	11.02349	3.2706270	0.6706	0.6669	6.427977	28.73166
263	11.16527	3.2530635	0.6767	0.6730	6.419438	28.45118
264	11.20268	3.2353376	0.6828	0.6790	6.422290	28.25102
265	11.10395	3.2388621	0.6828	0.6790	6.431693	28.36094
266	11.02643	3.2545297	0.6859	0.6821	6.434000	28.57291
267	10.99880	3.2593579	0.6890	0.6852	6.435113	28.64133
268	10.93046	3.2517956	0.6920	0.6882	6.445574	28.62099
269	10.87645	3.2358033	0.6890	0.6852	6.457843	28.50719
270	10.77595	3.2269207	0.6921	0.6883	6.472455	28.49864
271	10.68614	3.2230103	0.6890	0.6852	6.483949	28.53035
272	10.62810	3.2248260	0.6921	0.6883	6.489648	28.59348
273	10.57129	3.2264923	0.6951	0.6913	6.495277	28.65436
274	10.51683	3.2296006	0.7074	0.7035	6.500064	28.72774
275	10.46881	3.2297260	0.7074	0.7035	6.505348	28.76684
276	10.43133	3.2229506	0.7074	0.7035	6.512270	28.72961
277	10.39116	3.2161621	0.7105	0.7066	6.519512	28.69430
278	10.34556	3.2200645	0.7166	0.7126	6.523011	28.76885
279	10.31617	3.2352845	0.7257	0.7218	6.520069	28.94273
280	10.30696	3.2406327	0.7258	0.7218	6.518907	29.00302
281	10.29927	3.2341106	0.7289	0.7249	6.522432	28.94455
282	10.28126	3.2171604	0.7319	0.7279	6.531387	28.79101
283	10.24904	3.2015320	0.7320	0.7279	6.541411	28.66173
284	10.21679	3.1968059	0.7411	0.7370	6.546978	28.64035
285	10.19409	3.2092686	0.7411	0.7371	6.544401	28.78189
286	10.19510	3.2195112	0.7503	0.7462	6.540070	28.88273
287	10.20028	3.2194488	0.7503	0.7462	6.539515	28.87798
288	10.19842	3.2227411	0.7504	0.7463	6.538368	28.91214
289	10.19499	3.2247994	0.7626	0.7584	6.537905	28.93531
290	10.19493	3.2123326	0.7687	0.7645	6.543045	28.81161
291	10.19234	3.2017753	0.7778	0.7736	6.547684	28.70892
292	10.17911	3.1915358	0.7809	0.7766	6.553393	28.61782
293	10.15277	3.1906538	0.7840	0.7797	6.556727	28.62985
294	10.13775	3.2038539	0.7810	0.7767	6.552968	28.77281
295	10.13707	3.2045819	0.7841	0.7798	6.552743	28.78058
296	10.13353	3.1914120	0.7841	0.7798	6.558584	28.65257
297	10.12105	3.1913562	0.7993	0.7950	6.560016	28.66188
298	10.11216	3.2073083	0.8085	0.8041	6.554420	28.82746
299	10.11627	3.2257235	0.8177	0.8132	6.546345	29.00736
300	10.12285	3.2356551	0.8207	0.8162	6.541504	29.10093
301	10.19392	3.2442596	0.8238	0.8193	6.530016	29.12944
302	10.35834	3.2484167	0.8238	0.8193	6.510015	29.03904
303	10.55662	3.2491591	0.8238	0.8193	6.487752	28.88876
304	10.71720	3.2437914	0.8239	0.8194	6.472190	28.70953
305	10.80696	3.2376594	0.8300	0.8255	6.464753	28.57934
306	10.84155	3.2310829	0.8301	0.8256	6.463564	28.48823
307	10.84470	3.2243310	0.8362	0.8316	6.465903	28.41993
308	10.80667	3.2150237	0.8363	0.8317	6.473811	28.35859
309	10.73273	3.2082481	0.8423	0.8377	6.484706	28.34965
310	10.64132	3.2065061	0.8576	0.8529	6.495556	28.40350
311	10.56401	3.2051936	0.8546	0.8500	6.504689	28.45079
312	10.50559	3.2036634	0.8729	0.8681	6.511823	28.48133
313	10.45434	3.2012562	0.8760	0.8712	6.518523	28.49768
314	10.41048	3.1983895	0.8761	0.8713	6.524596	28.50376
315	10.36360	3.1965247	0.8791	0.8743	6.530608	28.52207
316	10.31255	3.1975324	0.8730	0.8682	6.535923	28.57210
317	10.27584	3.2024152	0.8670	0.8622	6.538041	28.64928
318	10.26140	3.2031806	0.8609	0.8561	6.539349	28.66825
319	10.25604	3.1946671	0.8458	0.8411	6.543445	28.58821
320	10.22964	3.1820591	0.8549	0.8502	6.551598	28.48414
321	10.17691	3.1677231	0.8671	0.8624	6.563462	28.38346
322	10.12290	3.1603728	0.8732	0.8684	6.572622	28.35284
323	10.07717	3.1595500	0.8824	0.8776	6.578158	28.38047
324	10.04899	3.1627509	0.8764	0.8716	6.580033	28.43438
325	10.05050	3.1712877	0.8795	0.8746	6.576316	28.51806
326	10.08329	3.1836993	0.8764	0.8716	6.567453	28.61560
327	10.11009	3.1954953	0.8764	0.8716	6.559542	28.71165
328	10.10284	3.2039476	0.8735	0.8687	6.556862	28.80144
329	10.07582	3.2066987	0.8583	0.8535	6.558766	28.85031
330	10.04495	3.2088717	0.8553	0.8506	6.561343	28.89657
331	10.03171	3.1976224	0.8736	0.8688	6.567508	28.79504
332	10.03407	3.1618162	0.9133	0.9082	6.582119	28.43679
333	10.01309	3.1414230	0.9559	0.9507	6.592992	28.25043
334	9.96592	3.1308941	1.0138	1.0082	6.602779	28.18249
335	9.89695	3.1254133	1.0626	1.0568	6.612986	28.18168
336	9.82464	3.1220677	1.1114	1.1053	6.622710	28.20475
337	9.75074	3.1190745	1.1632	1.1568	6.632494	28.23265
338	9.68304	3.1226360	1.1846	1.1781	6.638808	28.32146
339	9.64060	3.1385556	1.1907	1.1842	6.636956	28.51471
340	9.64715	3.1515183	1.1817	1.1752	6.630701	28.63973
341	9.64693	3.1569801	1.1848	1.1782	6.628409	28.69480
342	9.62961	3.1569803	1.1756	1.1692	6.630399	28.70862
343	9.61280	3.1487860	1.1726	1.1662	6.635815	28.63963
344	9.59976	3.1405010	1.1727	1.1662	6.640840	28.56669
345	9.58867	3.1362042	1.1788	1.1724	6.643949	28.53228
346	9.56966	3.1300656	1.1788	1.1723	6.648761	28.48562
347	9.54412	3.1275499	1.1819	1.1755	6.652791	28.48055
348	9.52972	3.1279816	1.1759	1.1694	6.654274	28.49632
349	9.54152	3.1294985	1.1820	1.1755	6.652261	28.50223
350	9.55204	3.1328662	1.1759	1.1695	6.649606	28.52779
351	9.56041	3.1355009	1.1790	1.1726	6.647515	28.54766
352	9.57415	3.1342975	1.1821	1.1756	6.646439	28.52463
353	9.58917	3.1334026	1.1882	1.1817	6.645084	28.50371
354	9.60719	3.1291154	1.2004	1.1938	6.644825	28.44633
355	9.62667	3.1255085	1.2066	1.2000	6.644106	28.39470
356	9.64421	3.1249228	1.2127	1.2060	6.642327	28.37497
357	9.66087	3.1252493	1.2128	1.2062	6.640262	28.36511
358	9.67498	3.1259457	1.2189	1.2122	6.638337	28.36097
359	9.68237	3.1255141	1.2281	1.2213	6.637666	28.35082
360	9.68354	3.1248299	1.2251	1.2184	6.637821	28.34304
361	9.68415	3.1247128	1.2190	1.2123	6.637800	28.34139
362	9.68610	3.1247251	1.2160	1.2093	6.637570	28.33998
363	9.68410	3.1243245	1.2100	1.2033	6.637971	28.33754
364	9.67232	3.1235543	1.2191	1.2124	6.639659	28.33909
365	9.65726	3.1232586	1.2223	1.2156	6.641524	28.34798
366	9.64721	3.1243804	1.2284	1.2217	6.642211	28.36716
367	9.64499	3.1280113	1.2315	1.2247	6.640926	28.40535
368	9.65137	3.1324149	1.2224	1.2156	6.638320	28.44451
369	9.66515	3.1324764	1.2316	1.2248	6.636704	28.43424
370	9.67893	3.1323282	1.2316	1.2249	6.635177	28.42187
371	9.68777	3.1357218	1.2287	1.2219	6.632721	28.44893
372	9.69494	3.1417228	1.2409	1.2341	6.629354	28.50344
373	9.70495	3.1473573	1.2470	1.2402	6.625819	28.55202
374	9.71535	3.1519072	1.2440	1.2372	6.622700	28.58940
375	9.72069	3.1555069	1.2379	1.2311	6.620566	28.62126
376	9.71958	3.1575177	1.2410	1.2342	6.619844	28.64231
377	9.71540	3.1583594	1.2411	1.2342	6.619967	28.65407
378	9.71346	3.1584460	1.2411	1.2343	6.620153	28.65649
379	9.71791	3.1580623	1.2381	1.2313	6.619805	28.64910
380	9.72659	3.1568865	1.2382	1.2314	6.619307	28.63041
381	9.73376	3.1548757	1.2413	1.2345	6.619333	28.60454
382	9.73772	3.1522038	1.2444	1.2375	6.620008	28.57462
383	9.73872	3.1497924	1.2384	1.2316	6.620911	28.54966
384	9.73766	3.1488775	1.2293	1.2225	6.621418	28.54133
385	9.73644	3.1502252	1.2324	1.2256	6.620990	28.55581
386	9.73749	3.1523522	1.2263	1.2195	6.619970	28.57629
387	9.74206	3.1524140	1.2294	1.2227	6.619420	28.57329
388	9.74746	3.1502374	1.2264	1.2197	6.619719	28.54720
389	9.74963	3.1475299	1.2356	1.2288	6.620613	28.51835
390	9.74529	3.1457316	1.2325	1.2258	6.621871	28.50378
391	9.73605	3.1457626	1.2388	1.2320	6.622919	28.51140
392	9.72736	3.1485932	1.2388	1.2320	6.622721	28.54664
393	9.72558	3.1540346	1.2449	1.2381	6.620627	28.60260
394	9.73276	3.1586624	1.2449	1.2381	6.617849	28.64330
395	9.74339	3.1611878	1.2420	1.2352	6.615564	28.66017
396	9.75113	3.1614291	1.2420	1.2351	6.614576	28.65643
397	9.75715	3.1606367	1.2481	1.2413	6.614222	28.64371
398	9.76316	3.1601352	1.2512	1.2444	6.613745	28.63390
399	9.76895	3.1603456	1.2513	1.2444	6.612993	28.63141
400	9.77408	3.1601970	1.2514	1.2445	6.612469	28.62585
401	9.77887	3.1579132	1.2484	1.2415	6.612882	28.59917
402	9.78138	3.1541948	1.2545	1.2476	6.614162	28.55995
403	9.77831	3.1528960	1.2485	1.2416	6.615060	28.54938
404	9.77190	3.1558652	1.2455	1.2387	6.614543	28.58419
405	9.77029	3.1607975	1.2364	1.2296	6.612649	28.63488
406	9.77675	3.1627848	1.2303	1.2236	6.611072	28.64965
407	9.78505	3.1603207	1.2274	1.2207	6.611160	28.61838
408	9.78957	3.1547886	1.2182	1.2115	6.612972	28.55942
409	9.78466	3.1515478	1.2244	1.2177	6.614899	28.53086
410	9.77140	3.1525621	1.2275	1.2208	6.615992	28.55151
411	9.76188	3.1567067	1.2306	1.2238	6.615337	28.60058
412	9.76344	3.1598443	1.2306	1.2238	6.613835	28.63077
413	9.77229	3.1611317	1.2337	1.2269	6.612279	28.63663
414	9.78188	3.1623946	1.2399	1.2330	6.610650	28.64167
415	9.79079	3.1655591	1.2430	1.2362	6.608298	28.66627
416	9.79826	3.1695365	1.2399	1.2331	6.605771	28.70016
417	9.80105	3.1717118	1.2431	1.2363	6.604538	28.71972
418	9.79888	3.1736150	1.2401	1.2332	6.603985	28.74051
419	9.80696	3.1745822	1.2462	1.2394	6.602656	28.74375
420	9.85528	3.1750096	1.2432	1.2364	6.596968	28.70956
421	9.91668	3.1759764	1.2494	1.2425	6.589573	28.67043
