Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	19.21358	0.0018725	-0.0274	6.451542	0.01635
2	19.21089	0.0018416	-0.0304	6.451899	0.01621
3	19.20456	0.0018200	-0.0274	6.452728	0.01611
4	19.19809	0.0018879	-0.0304	6.453562	0.01641
5	19.19526	0.0018910	-0.0274	6.453931	0.01643
6	19.19577	0.0018262	-0.0273	6.453876	0.01614
7	19.19265	0.0017274	-0.0304	6.454301	0.01570
8	19.16258	0.0016564	-0.0365	6.458244	0.01538
9	19.11122	0.0015854	-0.0364	6.464979	0.01506
10	19.07153	0.0015299	-0.0274	6.470194	0.01481
11	19.03781	0.0015144	-0.0304	6.474625	0.01474
12	18.96282	0.0014867	-0.0304	6.484495	0.01460
13	18.88268	0.0014959	-0.0305	6.495068	0.01462
14	18.80568	0.0014774	-0.0335	6.505261	0.01453
15	18.74691	0.0014959	-0.0274	6.513053	0.01460
16	18.70693	0.0015114	-0.0214	6.518364	0.01466
17	18.68925	0.0016101	-0.0274	6.520699	0.01509
18	18.68445	0.0017027	-0.0304	6.521321	0.01550
19	18.66907	0.0017644	-0.0305	6.523358	0.01577
20	18.65384	0.0017891	-0.0275	6.525382	0.01588
21	18.63747	0.0018138	-0.0274	6.527559	0.01599
22	18.61790	0.0018601	-0.0274	6.530162	0.01620
23	18.59041	0.0017891	-0.0274	6.533843	0.01587
24	18.57536	0.0016842	-0.0335	6.535872	0.01540
25	18.57722	0.0015947	-0.0305	6.535640	0.01500
26	18.57607	0.0015206	-0.0304	6.535805	0.01467
27	18.55675	0.0014682	-0.0274	6.538397	0.01443
28	18.53288	0.0014496	-0.0274	6.541593	0.01435
29	18.51742	0.0014435	-0.0275	6.543663	0.01432
30	18.51906	0.0014342	-0.0304	6.543445	0.01428
31	18.53281	0.0014342	-0.0274	6.541605	0.01428
32	18.55069	0.0014249	-0.0274	6.539214	0.01424
33	18.55447	0.0013848	-0.0274	6.538716	0.01407
34	18.54663	0.0013879	-0.0274	6.539764	0.01408
35	18.55475	0.0013972	-0.0274	6.538676	0.01412
36	18.57115	0.0014342	-0.0305	6.536477	0.01429
37	18.57108	0.0014435	-0.0365	6.536485	0.01433
38	18.55974	0.0014404	-0.0274	6.538001	0.01431
39	18.56231	0.0013879	-0.0274	6.537667	0.01408
40	18.56909	0.0014682	-0.0305	6.536748	0.01444
41	18.56787	0.0014651	-0.0274	6.536910	0.01442
42	18.57215	0.0014342	-0.0275	6.536344	0.01429
43	18.58142	0.0013632	-0.0214	6.535117	0.01398
44	18.59962	0.0012923	-0.0274	6.532699	0.01368
45	18.62097	0.0012552	-0.0274	6.529856	0.01352
46	18.63790	0.0012120	-0.0214	6.527605	0.01334
47	18.65312	0.0011843	-0.0214	6.525581	0.01323
48	18.67157	0.0011503	-0.0304	6.523129	0.01309
49	18.68996	0.0011225	-0.0214	6.520686	0.01298
50	18.70528	0.0010948	-0.0274	6.518652	0.01286
51	18.72025	0.0010763	-0.0304	6.516665	0.01279
52	18.73687	0.0010608	-0.0244	6.514459	0.01273
53	18.75128	0.0010392	-0.0334	6.512548	0.01264
54	18.76218	0.0010238	-0.0214	6.511104	0.01258
55	18.77086	0.0010238	-0.0274	6.509952	0.01259
56	18.77761	0.0010146	-0.0244	6.509059	0.01255
57	18.78981	0.0010331	-0.0274	6.507438	0.01263
58	18.80000	0.0010300	-0.0244	6.506087	0.01262
59	18.80934	0.0010331	-0.0274	6.504849	0.01263
60	18.81710	0.0010238	-0.0305	6.503823	0.01260
61	18.82371	0.0010146	-0.0214	6.502949	0.01256
62	18.82378	0.0515357	0.0119	6.492397	0.28500
63	17.87756	2.4908862	0.1271	5.957919	17.84684
64	15.98411	3.0048546	0.2784	5.999980	22.98368
65	14.63246	3.1086127	0.4327	6.104461	24.69321
66	13.71941	3.1259672	0.5599	6.193261	25.43857
67	13.17392	3.1388838	0.6720	6.246184	25.92167
68	12.87759	3.1434318	0.7083	6.276038	26.16643
69	12.75877	3.1574294	0.6780	6.283664	26.37784
70	12.76142	3.1690264	0.6478	6.279195	26.48306
71	12.77832	3.1700177	0.6265	6.277039	26.48039
72	12.77766	3.1716228	0.6205	6.276531	26.49567
73	12.75828	3.1762480	0.6235	6.276921	26.55197
74	12.71294	3.1794862	0.6448	6.280572	26.61377
75	12.66409	3.1925125	0.6629	6.281044	26.76889
76	12.66440	3.2036422	0.6841	6.276977	26.87184
77	12.69342	3.2005875	0.6901	6.275008	26.82290
78	12.81021	3.2063600	0.6780	6.260569	26.79352
79	12.96566	3.2117188	0.6538	6.242274	26.73318
80	13.06538	3.2035446	0.6205	6.234710	26.58808
81	13.03648	3.1824240	0.6114	6.245259	26.41449
82	12.90945	3.1749132	0.6054	6.261365	26.43393
83	12.80030	3.1780648	0.6296	6.271804	26.53926
84	12.71583	3.1850963	0.6508	6.278235	26.66363
85	12.66783	3.2007370	0.6690	6.277667	26.84247
86	12.66909	3.2160077	0.6780	6.271998	26.98318
87	12.66783	3.2235693	0.6660	6.269391	27.05425
88	12.64586	3.2201838	0.6478	6.272940	27.03856
89	12.62674	3.2025165	0.6326	6.281379	26.88822
90	12.59693	3.1857370	0.6175	6.290648	26.75367
91	12.55226	3.1746441	0.6114	6.299454	26.68231
92	12.52605	3.1706586	0.6387	6.303712	26.66382
93	12.50759	3.1761886	0.6659	6.303665	26.72830
94	12.50358	3.2014105	0.6902	6.294874	26.96587
95	12.52072	3.2091455	0.6781	6.290224	27.02561
96	12.57651	3.2141708	0.6599	6.282469	27.03238
97	12.74151	3.2125433	0.6387	6.265595	26.89946
98	12.89133	3.1949524	0.6175	6.256100	26.63110
99	12.89727	3.1773319	0.6176	6.261788	26.46468
100	12.79432	3.1724966	0.6267	6.274445	26.49207
101	12.69842	3.1827316	0.6357	6.280941	26.65404
102	12.64586	3.2044637	0.6509	6.278644	26.89266
103	12.60763	3.2111994	0.6629	6.280251	26.98248
104	12.57063	3.1988164	0.6841	6.288686	26.89383
105	12.54003	3.1877681	0.6992	6.295973	26.81292
106	12.50088	3.1862223	0.7083	6.300714	26.82640
107	12.47914	3.2002974	0.7023	6.297884	26.97300
108	12.50010	3.2141404	0.6842	6.290590	27.08694
109	12.50214	3.1950124	0.6630	6.297366	26.90734
110	12.48010	3.1745580	0.6599	6.307203	26.73264
111	12.45597	3.1698103	0.6629	6.311526	26.70557
112	12.45651	3.1797929	0.6781	6.307809	26.79814
113	12.47537	3.2081997	0.6841	6.295393	27.04936
114	12.48201	3.2128823	0.6902	6.292972	27.08823
115	12.46758	3.1891103	0.7144	6.303213	26.87703
116	12.44819	3.1780312	0.7295	6.309346	26.78763
117	12.43031	3.1816112	0.7660	6.309947	26.83372
118	12.43462	3.2059345	0.7901	6.300563	27.05748
119	12.44114	3.2200052	0.7810	6.294710	27.18411
120	12.53505	3.2194805	0.7629	6.284932	27.11152
121	12.76118	3.2075805	0.7508	6.265310	26.83953
122	12.85671	3.1975326	0.7448	6.258833	26.67919
123	12.81698	3.1917468	0.7599	6.265113	26.65378
124	12.73808	3.1899274	0.7841	6.274129	26.69258
125	12.67294	3.2104640	0.8235	6.273601	26.92896
126	12.66391	3.2240933	0.8356	6.269617	27.06186
127	12.69902	3.2287470	0.8236	6.264227	27.07988
128	12.87626	3.2259998	0.7902	6.246560	26.92799
129	13.05065	3.2119920	0.7690	6.233255	26.67588
130	13.10179	3.2021383	0.7780	6.231390	26.54970
131	13.04421	3.2051316	0.7871	6.236371	26.61741
132	12.97021	3.2240277	0.8084	6.237405	26.84320
133	12.93084	3.2304671	0.8054	6.239232	26.93042
134	12.94467	3.2320712	0.8023	6.237210	26.93539
135	13.00871	3.2234722	0.8084	6.233568	26.81088
136	13.06124	3.2149320	0.8053	6.231101	26.69542
137	13.06337	3.2151189	0.8114	6.230812	26.69564
138	13.04986	3.2207656	0.8114	6.230220	26.75699
139	13.04573	3.2274455	0.8326	6.228279	26.82126
140	13.04475	3.2364226	0.8326	6.225189	26.90445
141	13.03375	3.2378469	0.8144	6.225832	26.92535
142	13.05990	3.2392086	0.7842	6.222617	26.91935
143	13.13006	3.2283368	0.7569	6.219150	26.77004
144	13.14707	3.2102411	0.7691	6.223775	26.59230
145	13.06008	3.2075525	0.7963	6.233844	26.62851
146	12.95194	3.2285883	0.8175	6.237692	26.89813
147	12.87765	3.2375050	0.8205	6.242290	27.03320
148	12.91805	3.2392726	0.8145	6.237423	27.02071
149	13.08504	3.2282125	0.8084	6.223896	26.80058
150	13.21080	3.2177844	0.8145	6.214451	26.61678
151	13.24136	3.2200591	0.8206	6.210462	26.61623
152	13.20756	3.2341976	0.8176	6.209002	26.76920
153	13.19254	3.2378453	0.7994	6.209279	26.81317
154	13.21520	3.2383698	0.7752	6.206736	26.80203
155	13.26455	3.2300329	0.7722	6.204539	26.69117
156	13.28774	3.2209439	0.7873	6.205319	26.59196
157	13.23592	3.2220543	0.8267	6.210327	26.63826
158	13.16794	3.2362089	0.8540	6.212418	26.81549
159	13.13988	3.2429826	0.8600	6.212945	26.89738
160	13.22033	3.2454012	0.8449	6.203726	26.86275
161	13.39800	3.2442176	0.8147	6.185728	26.72718
162	13.52289	3.2351809	0.7783	6.175966	26.55802
163	13.58149	3.2287003	0.7662	6.172160	26.45871
164	13.56964	3.2287316	0.7663	6.173373	26.46717
165	13.45787	3.2367930	0.7905	6.182125	26.61784
166	13.37559	3.2422987	0.7996	6.188717	26.72537
167	13.35583	3.2440618	0.8056	6.190146	26.75528
168	13.44741	3.2432294	0.8087	6.180965	26.68366
169	13.56149	3.2396033	0.8147	6.170450	26.57135
170	13.60619	3.2380596	0.8208	6.166378	26.52640
171	13.60681	3.2413650	0.8300	6.165172	26.55591
172	13.59309	3.2464478	0.8178	6.164827	26.61148
173	13.58655	3.2468231	0.7966	6.165370	26.61943
174	13.60378	3.2467291	0.7694	6.163630	26.60662
175	13.64142	3.2426397	0.7543	6.161170	26.54351
176	13.65991	3.2370345	0.7513	6.161200	26.48002
177	13.61583	3.2327447	0.7907	6.167220	26.47162
178	13.47448	3.2365430	0.8209	6.180495	26.60400
179	13.37252	3.2448681	0.8452	6.188137	26.75093
180	13.34124	3.2480953	0.8482	6.190246	26.80230
181	13.45233	3.2491825	0.8362	6.178384	26.73438
182	13.60223	3.2458911	0.8150	6.164079	26.60009
183	13.68027	3.2396645	0.7908	6.158200	26.48973
184	13.71501	3.2355848	0.7757	6.156032	26.42893
185	13.70813	3.2366342	0.7696	6.156378	26.44315
186	13.65267	3.2400022	0.7696	6.160922	26.51186
187	13.62417	3.2434400	0.7818	6.162668	26.56269
188	13.62188	3.2470979	0.7999	6.161641	26.59739
189	13.63004	3.2474105	0.8211	6.160694	26.59456
190	13.63270	3.2481860	0.8241	6.160154	26.59974
191	13.66343	3.2489613	0.8120	6.156729	26.58545
192	13.71904	3.2493986	0.8030	6.150872	26.55092
193	13.76722	3.2480282	0.7879	6.146404	26.50529
194	13.78391	3.2452389	0.7698	6.145649	26.46863
195	13.76803	3.2430384	0.7637	6.148031	26.45972
196	13.74042	3.2426387	0.7637	6.150999	26.47512
197	13.72319	3.2466027	0.7850	6.151407	26.52280
198	13.71402	3.2497990	0.8152	6.151250	26.55801
199	13.70182	3.2498930	0.8213	6.152469	26.56730
200	13.71904	3.2502369	0.8274	6.150585	26.55849
201	13.79099	3.2502987	0.8093	6.143192	26.50937
202	13.85973	3.2479334	0.7821	6.136969	26.44075
203	13.88089	3.2435623	0.7700	6.136296	26.38691
204	13.85899	3.2418624	0.7760	6.139116	26.38663
205	13.81658	3.2442132	0.7913	6.142654	26.43690
206	13.76964	3.2488976	0.8064	6.145858	26.51145
207	13.73819	3.2512878	0.8124	6.148261	26.55475
208	13.77125	3.2520697	0.8094	6.144606	26.53896
209	13.84698	3.2495161	0.7943	6.137733	26.46376
210	13.88967	3.2457005	0.7884	6.134671	26.40012
211	13.88375	3.2437186	0.7883	6.135950	26.38635
212	13.84381	3.2458260	0.7944	6.139317	26.43272
213	13.82839	3.2497353	0.7975	6.139559	26.47853
214	13.82311	3.2502045	0.8035	6.139939	26.48639
215	13.82205	3.2506362	0.8035	6.139899	26.49101
216	13.83983	3.2500792	0.8126	6.138272	26.47375
217	13.84549	3.2498602	0.8188	6.137768	26.46788
218	13.84816	3.2514744	0.8127	6.136944	26.48058
219	13.85320	3.2524693	0.8006	6.136089	26.48608
220	13.85376	3.2525944	0.7704	6.135989	26.48683
221	13.85245	3.2505108	0.7493	6.136833	26.46897
222	13.85382	3.2462011	0.7432	6.138164	26.42923
223	13.83797	3.2444630	0.7675	6.140380	26.42447
224	13.75177	3.2463523	0.7947	6.148562	26.50081
225	13.67581	3.2499871	0.8341	6.155105	26.58615
226	13.65230	3.2516955	0.8492	6.156930	26.61790
227	13.69426	3.2529404	0.8553	6.152196	26.60007
228	13.79894	3.2528141	0.8463	6.141519	26.52656
229	13.87193	3.2494908	0.8100	6.135192	26.44638
230	13.89982	3.2464445	0.7797	6.133380	26.39985
231	13.90225	3.2444311	0.7616	6.133817	26.38009
232	13.85905	3.2442002	0.7496	6.138312	26.40763
233	13.80745	3.2448322	0.7526	6.143377	26.44877
234	13.74966	3.2469777	0.7768	6.148563	26.50792
235	13.73057	3.2499865	0.8102	6.149489	26.54826
236	13.73280	3.2501117	0.8405	6.149217	26.54784
237	13.72914	3.2508249	0.8587	6.149348	26.55681
238	13.78429	3.2516941	0.8618	6.143402	26.52656
239	13.87037	3.2515367	0.8284	6.134654	26.46586
240	13.92935	3.2486770	0.7951	6.129606	26.39967
241	13.94937	3.2452371	0.7558	6.128732	26.35509
242	13.94344	3.2437492	0.7317	6.129841	26.34579
243	13.89104	3.2434684	0.7286	6.135290	26.37913
244	13.72344	3.2439703	0.7499	6.152285	26.49887
245	13.57822	3.2463228	0.7923	6.166401	26.62069
246	13.51359	3.2488691	0.8347	6.172176	26.68876
247	13.51291	3.2502704	0.8589	6.171760	26.70196
248	13.60415	3.2506386	0.8681	6.162242	26.64176
249	13.73962	3.2503869	0.8500	6.148424	26.54561
250	13.82920	3.2475647	0.8106	6.140218	26.45841
251	13.86614	3.2434375	0.7652	6.137847	26.39590
252	13.86459	3.2389190	0.7562	6.139547	26.35632
253	13.75289	3.2337922	0.7713	6.152755	26.38672
254	13.53041	3.2344752	0.8077	6.175434	26.54639
255	13.36902	3.2440929	0.8259	6.188770	26.74632
256	13.28321	3.2481272	0.8380	6.196244	26.84339
257	13.36326	3.2476009	0.8078	6.188140	26.78235
258	13.51944	3.2396662	0.7836	6.174766	26.60113
259	13.61632	3.2326198	0.7685	6.167212	26.47015
260	13.64908	3.2308590	0.7777	6.164443	26.43162
261	13.58920	3.2311718	0.7928	6.170509	26.47576
262	13.48088	3.2378422	0.8171	6.179381	26.61135
263	13.43788	3.2419293	0.8383	6.182403	26.67847
264	13.44957	3.2456114	0.8353	6.179913	26.70382
265	13.54293	3.2454603	0.8081	6.170334	26.63739
266	13.64803	3.2391712	0.7779	6.161685	26.50754
267	13.70014	3.2331746	0.7567	6.158389	26.41740
268	13.68999	3.2294730	0.7566	6.160707	26.39095
269	13.60687	3.2272212	0.7840	6.170052	26.42779
270	13.43333	3.2335146	0.8083	6.185806	26.60509
271	13.34933	3.2394805	0.8234	6.192423	26.71805
272	13.34669	3.2426991	0.8204	6.191570	26.74925
273	13.44981	3.2390483	0.8053	6.182173	26.64395
274	13.55600	3.2330200	0.7932	6.173296	26.51547
275	13.60508	3.2296861	0.7964	6.169385	26.45134
276	13.58439	3.2309221	0.7964	6.171093	26.47682
277	13.54447	3.2360488	0.8116	6.173437	26.55092
278	13.52049	3.2383978	0.8086	6.175098	26.58888
279	13.48384	3.2393542	0.8055	6.178550	26.62304
280	13.50256	3.2378732	0.8026	6.177131	26.59657
281	13.53226	3.2356742	0.8056	6.174827	26.55599
282	13.54996	3.2353992	0.8056	6.173096	26.54123
283	13.56347	3.2364484	0.7966	6.171339	26.54138
284	13.57439	3.2372853	0.7876	6.169922	26.54141
285	13.58531	3.2361733	0.7876	6.169181	26.52376
286	13.58927	3.2343497	0.7967	6.169404	26.50450
287	13.57723	3.2344435	0.8179	6.170613	26.51367
288	13.56464	3.2381162	0.8240	6.170641	26.55568
289	13.56581	3.2405343	0.8301	6.169683	26.57680
290	13.59526	3.2415839	0.8120	6.166286	26.56590
291	13.65477	3.2376842	0.7818	6.161504	26.48943
292	13.68695	3.2323069	0.7636	6.160044	26.41864
293	13.68052	3.2279941	0.7758	6.162192	26.38409
294	13.63189	3.2292864	0.8000	6.166758	26.42923
295	13.57285	3.2359236	0.8152	6.170553	26.53012
296	13.53201	3.2400972	0.8212	6.173319	26.59629
297	13.53658	3.2417408	0.8092	6.172279	26.60804
298	13.58673	3.2379348	0.7971	6.168425	26.53874
299	13.62361	3.2322514	0.7912	6.166588	26.46178
300	13.62102	3.2283317	0.8033	6.168209	26.42809
301	13.57143	3.2305852	0.8124	6.172547	26.48272
302	13.54015	3.2363549	0.8245	6.173777	26.55669
303	13.52160	3.2396662	0.8276	6.174544	26.59962
304	13.55650	3.2398220	0.8125	6.170889	26.57680
305	13.62497	3.2342244	0.8095	6.165767	26.47869
306	13.66591	3.2315393	0.8126	6.162476	26.42617
307	13.66968	3.2325256	0.8065	6.161747	26.43249
308	13.66282	3.2362350	0.8036	6.161176	26.47076
309	13.65756	3.2377779	0.7885	6.161186	26.48835
310	13.65651	3.2356167	0.7733	6.162039	26.46953
311	13.66412	3.2319388	0.7704	6.162522	26.43103
312	13.66678	3.2295669	0.7765	6.163066	26.40775
313	13.65552	3.2305219	0.7977	6.163897	26.42413
314	13.64475	3.2343179	0.8099	6.163697	26.46588
315	13.63610	3.2361728	0.8251	6.163949	26.48864
316	13.63758	3.2375907	0.8402	6.163307	26.50044
317	13.66127	3.2371594	0.8433	6.161018	26.48018
318	13.68435	3.2363846	0.8433	6.158910	26.45725
319	13.70151	3.2363220	0.8312	6.157167	26.44487
320	13.70968	3.2364156	0.8132	6.156294	26.44009
321	13.71309	3.2348105	0.7890	6.156495	26.42326
322	13.70962	3.2317823	0.7618	6.157893	26.39831
323	13.69426	3.2295978	0.7436	6.160224	26.38914
324	13.67259	3.2282376	0.7497	6.162924	26.39175
325	13.66164	3.2291925	0.7710	6.163724	26.40791
326	13.65613	3.2322198	0.7982	6.163248	26.43906
327	13.65082	3.2346862	0.8256	6.162946	26.46503
328	13.64896	3.2371596	0.8498	6.162284	26.48867
329	13.67773	3.2376528	0.8650	6.159155	26.47327
330	13.71179	3.2379648	0.8621	6.155546	26.45262
331	13.73949	3.2381144	0.8560	6.152649	26.43490
332	13.76151	3.2380829	0.8348	6.150399	26.41948
333	13.77578	3.2370645	0.7925	6.149283	26.40050
334	13.77733	3.2334173	0.7562	6.150372	26.36656
335	13.76126	3.2293786	0.7380	6.153407	26.34117
336	13.72982	3.2275007	0.7442	6.157285	26.34579
337	13.69977	3.2291608	0.7533	6.159807	26.38140
338	13.68819	3.2320946	0.7837	6.159990	26.41586
339	13.66678	3.2339180	0.8170	6.161567	26.44708
340	13.65589	3.2358291	0.8443	6.162030	26.47186
341	13.67550	3.2366346	0.8655	6.159734	26.46561
342	13.70479	3.2370028	0.8686	6.156596	26.44875
343	13.73770	3.2372836	0.8505	6.153118	26.42864
344	13.77131	3.2373457	0.8263	6.149645	26.40609
345	13.79869	3.2354591	0.7930	6.147482	26.37030
346	13.81049	3.2316314	0.7749	6.147580	26.32774
347	13.80385	3.2291910	0.7689	6.149097	26.31031
348	13.78242	3.2294408	0.7779	6.151212	26.32722
349	13.76232	3.2320626	0.7932	6.152379	26.36464
350	13.74464	3.2348726	0.8053	6.153232	26.40212
351	13.73912	3.2354597	0.8024	6.153597	26.41121
352	13.76300	3.2325558	0.8085	6.152140	26.36861
353	13.78242	3.2300587	0.8236	6.151001	26.33278
354	13.78205	3.2297154	0.8267	6.151157	26.32994
355	13.77827	3.2311698	0.8389	6.151048	26.34564
356	13.77653	3.2330489	0.8328	6.150582	26.36377
357	13.77082	3.2339419	0.8208	6.150862	26.37574
358	13.77280	3.2334798	0.8148	6.150817	26.37021
359	13.77827	3.2313196	0.7876	6.150996	26.34700
360	13.77665	3.2293473	0.7786	6.151837	26.33033
361	13.77107	3.2279308	0.7786	6.152896	26.32139
362	13.76517	3.2280868	0.7907	6.153449	26.32683
363	13.76219	3.2298405	0.7908	6.153154	26.34468
364	13.75860	3.2309515	0.8059	6.153143	26.35717
365	13.75394	3.2314447	0.8211	6.153452	26.36480
366	13.75860	3.2311700	0.8364	6.153068	26.35913
367	13.76188	3.2316319	0.8424	6.152572	26.36103
368	13.76288	3.2321251	0.8304	6.152301	26.36480
369	13.76405	3.2322187	0.8122	6.152148	26.36485
370	13.76573	3.2306144	0.7851	6.152525	26.34924
371	13.76511	3.2277436	0.7729	6.153573	26.32379
372	13.75915	3.2256474	0.7760	6.154904	26.30896
373	13.74917	3.2256164	0.7973	6.155942	26.31552
374	13.73794	3.2281433	0.8094	6.156230	26.34600
375	13.72567	3.2314138	0.8216	6.156369	26.38393
376	13.72238	3.2328060	0.8186	6.156229	26.39876
377	13.74042	3.2304586	0.8066	6.155180	26.36519
378	13.75704	3.2269139	0.8187	6.154687	26.32181
379	13.75611	3.2256475	0.8218	6.155217	26.31103
380	13.74656	3.2260531	0.8249	6.156061	26.32123
381	13.73639	3.2284241	0.8340	6.156293	26.34959
382	13.72778	3.2299345	0.8280	6.156661	26.36913
383	13.72053	3.2300906	0.8159	6.157353	26.37552
384	13.72313	3.2275631	0.8069	6.157953	26.35092
385	13.72387	3.2256229	0.8009	6.158543	26.33291
386	13.72034	3.2245126	0.7980	6.159288	26.32531
387	13.71495	3.2243255	0.8010	6.159908	26.32731
388	13.71154	3.2255606	0.7981	6.159834	26.34080
389	13.70931	3.2264215	0.8071	6.159768	26.35010
390	13.70256	3.2263592	0.8193	6.160485	26.35417
391	13.69500	3.2254984	0.8345	6.161559	26.35157
392	13.69011	3.2251866	0.8466	6.162171	26.35211
393	13.68739	3.2265465	0.8527	6.161983	26.36627
394	13.68943	3.2284246	0.8467	6.161126	26.38183
395	13.69494	3.2282997	0.8195	6.160602	26.37692
396	13.70435	3.2248184	0.7954	6.160829	26.33903
397	13.70937	3.2227290	0.7773	6.161030	26.31673
398	13.70720	3.2215568	0.7864	6.161657	26.30763
399	13.69859	3.2223612	0.8016	6.162268	26.32079
400	13.69073	3.2246688	0.8168	6.162285	26.34702
401	13.68163	3.2270395	0.8229	6.162406	26.37468
402	13.67866	3.2283311	0.8259	6.162268	26.38840
403	13.69011	3.2267586	0.8200	6.161629	26.36632
404	13.69829	3.2233715	0.8200	6.161952	26.33012
405	13.69736	3.2220744	0.8201	6.162494	26.31905
406	13.69141	3.2214073	0.8262	6.163337	26.31709
407	13.68064	3.2232220	0.8201	6.163823	26.34088
408	13.67569	3.2251306	0.8172	6.163676	26.36152
409	13.67117	3.2257419	0.8111	6.163931	26.37015
410	13.67476	3.2225111	0.8022	6.164673	26.33849
411	13.67730	3.2201481	0.8173	6.165226	26.31540
