"Species","Sex","Carapace_Width","Shell_Condition","PCR_Result","Year","Latitude","Longitude","Depth","Bottom_Temp","Julian_Day","Location"
"Chionoecetes bairdi",2,83,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,78,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,75,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,82,3,1,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,73,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,81,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,32,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,84,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,101,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,92,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,80,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,97,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,76,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,65,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,103,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,77,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,80,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,74,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,110,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,79,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,110,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,81,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,110,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,74,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,106,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,95,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,102,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,85,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,70,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,107,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,79,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,109,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,82,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,82,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,70,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,75,3,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,107,2,0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",1,51,3,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,32,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,75,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,57,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,75,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,31,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,32,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,31,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,32,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,31,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,37,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,31,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,32,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,32,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,28,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,31,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,29,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,35,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,32,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,31,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,32,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,34,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,50,2,0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",1,33,2,0,2014,56.67659,-169.48468,80,5,190,"PI"
"Chionoecetes bairdi",1,90,2,0,2014,56.67659,-169.48468,80,5,190,"PI"
"Chionoecetes bairdi",1,98,2,0,2014,56.67659,-169.48468,80,5,190,"PI"
"Chionoecetes bairdi",1,103,2,0,2014,56.67659,-169.48468,80,5,190,"PI"
"Chionoecetes bairdi",2,81,3,0,2014,56.67659,-169.48468,80,5,190,"PI"
"Chionoecetes bairdi",1,76,2,0,2014,56.67659,-169.48468,80,5,190,"PI"
